FID;GW_NUMMER;NAME;RECHTSWERT;HOCHWERT;GEMEINDE_K;AQUIFER_KZ;EINZUGSGEB;HYDROGEOLE;HYDROGEOL2;MESSNETZ1_;MESSNETZ2_;GEMEINDE;AQUIFER;EINZUGSGE2;HYDROGEOL3;MESSNETZ1;MESSNETZ2;RASTERVALU
992;161/768-5;GWM XIII, KIRCHBERG;3580980,000000000000000;5333370,000000000000000;8426065,000000000000000;5,000000000000000;1149400000,000000000000000;3,000000000000000;171,000000000000000; ; ;KIRCHBERG AN DER ILLER;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Giessen;Quartäre Kiese und Sande (GWL);#800000000012;#800000000001;211
993;161/813-0;SBR SCHLUESSELBRAU., GIENGEN;3591800,000000000000000;5388350,000000000000000;8135016,000000000000000;31,000000000000000;1172300000,000000000000000;3,000000000000000;142,000000000000000; ; ;GIENGEN AN DER BRENZ, STADT;MALM WEIßJURA (SCHWÄBISCHE ALB);Brenz unterh. Stubental-Wedel oberh. Hürbe;Quartäre Kiese und Sande (GWL);#800000000013; ;321
994;161/814-6;GWM 8905 LW, HUERBEN;3590004,000000000000000;5385001,000000000000000;8135016,000000000000000;2,000000000000000;1172300000,000000000000000;3,000000000000000;142,000000000000000; ; ;GIENGEN AN DER BRENZ, STADT;QUARTÄR TALFÜLLUNGEN;Brenz unterh. Stubental-Wedel oberh. Hürbe;Quartäre Kiese und Sande (GWL);#800000000012;#800000000001;231
995;162/020-4;BBR1 FEW, KROZ.-HAUSEN;3399356,000000000000000;5313978,000000000000000;8315006,000000000000000;4,000000000000000;2336600000,000000000000000;3,000000000000000;8,000000000000000; ; ;BAD KROZINGEN;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);"Seltenbach;";Quartäre Kiese und Sande (GWL);#800000000018; ;231
996;162/023-0;GWM WEIL-HALTINGEN, HALTING.;3394760,000000000000000;5274970,000000000000000;8336091,000000000000000;4,000000000000000;2332900000,000000000000000;3,000000000000000;8,000000000000000; ; ;WEIL AM RHEIN, STADT;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Kander unterhalb von Wollbach;Quartäre Kiese und Sande (GWL);#800000000017;#800000000001;311
997;162/118-7;TB 2 GUTACH, GUTACH;3424660,000000000000000;5330960,000000000000000;8316056,000000000000000;2,000000000000000;2338510000,000000000000000;50,000000000000000;18,000000000000000; ; ;WALDKIRCH, STADT;QUARTÄR TALFÜLLUNGEN;Elz unterh. Wilde Gutach oberh. Kohlenbach;Paläozoikum, Kristallin (GWG);#800000000014; ;142
998;162/172-2;WASSERWERK ALBTAL GWV HOECH.EL.TB II;3434551,000000000000000;5285721,000000000000000;8337051,000000000000000;91,000000000000000;2312500000,000000000000000;50,000000000000000;18,000000000000000; ; ;HÖCHENSCHWAND;KRISTALLIN (SCHWARZWALD);Hauensteiner Alb unterh. Steinenbächle oberh. Ibach;Paläozoikum, Kristallin (GWG);#800000000014; ;312
999;162/514-4;GWM B1, RIEDERICH;3519840,000000000000000;5379590,000000000000000;8415050,000000000000000;2,000000000000000;2381767000,000000000000000;3,000000000000000;16,000000000000000; ; ;METZINGEN, STADT;QUARTÄR TALFÜLLUNGEN;"Erms unterh. Glemsbach oberh. Steidenbach;";Quartäre Kiese und Sande (GWL);#800000000012; ;112
1000;162/568-3;GWM KBO9, ANDELFINGEN;3531370,000000000000000;5333460,000000000000000;8426008,000000000000000;5,000000000000000;1133490000,000000000000000;3,000000000000000;157,000000000000000; ; ;ALTHEIM;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Biberbach unterhalb von Soppenbach;Quartäre Kiese und Sande (GWL);#800000000012;#800000000001;211
1001;162/813-5;BBR FA.FAESER, GIENGEN;3591660,000000000000000;5388100,000000000000000;8135016,000000000000000;31,000000000000000;1172300000,000000000000000;3,000000000000000;142,000000000000000; ; ;GIENGEN AN DER BRENZ, STADT;MALM WEIßJURA (SCHWÄBISCHE ALB);Brenz unterh. Stubental-Wedel oberh. Hürbe;Quartäre Kiese und Sande (GWL);#800000000013; ;112
