Datetime[UTC],BLM-1[m],Baro[m]
28/06/2009 03:00,5.15811753,9.51638549
28/06/2009 03:15,5.16145791,9.51667259
28/06/2009 03:30,5.16455853,9.51665849
28/06/2009 03:45,5.16750025,9.51917021
28/06/2009 04:00,5.16990693,9.52060738
28/06/2009 04:15,5.17239235,9.52213499
28/06/2009 04:30,5.17370431,9.52341118
28/06/2009 04:45,5.17583116,9.52541426
28/06/2009 05:00,5.17535376,9.52860888
28/06/2009 05:15,5.17787996,9.52914989
28/06/2009 05:30,5.17958846,9.52874828
28/06/2009 05:45,5.18002508,9.52807866
28/06/2009 06:00,5.18175327,9.52903123
28/06/2009 06:15,5.18359256,9.52777247
28/06/2009 06:30,5.18233332,9.52716756
28/06/2009 06:45,5.18217372,9.52793178
28/06/2009 07:00,5.18177366,9.52720491
28/06/2009 07:15,5.17968971,9.52922291
28/06/2009 07:30,5.17875108,9.52727211
28/06/2009 07:45,5.17614614,9.52798655
28/06/2009 08:00,5.1742021,9.52711031
28/06/2009 08:15,5.17168363,9.52803053
28/06/2009 08:30,5.16809718,9.52833755
28/06/2009 08:45,5.16574886,9.52841554
28/06/2009 09:00,5.16121886,9.5292868
28/06/2009 09:15,5.15819909,9.52935236
28/06/2009 09:30,5.15577062,9.53030245
28/06/2009 09:45,5.15364589,9.52769861
28/06/2009 10:00,5.14958836,9.52957307
28/06/2009 10:15,5.14517437,9.52921213
28/06/2009 10:30,5.14189516,9.53117951
28/06/2009 10:45,5.13841698,9.53141434
28/06/2009 11:00,5.13621139,9.53138031
28/06/2009 11:15,5.13372245,9.53173961
28/06/2009 11:30,5.13265024,9.53164086
28/06/2009 11:45,5.12955243,9.53392772
28/06/2009 12:00,5.1282018,9.53285317
28/06/2009 12:15,5.12533741,9.53586774
28/06/2009 12:30,5.12235632,9.53902087
28/06/2009 12:45,5.12110482,9.54053852
28/06/2009 13:00,5.12181353,9.54169356
28/06/2009 13:15,5.12103943,9.54271917
28/06/2009 13:30,5.1200087,9.54334066
28/06/2009 13:45,5.11943006,9.54747127
28/06/2009 14:00,5.12040665,9.54799819
28/06/2009 14:15,5.12106544,9.54666391
28/06/2009 14:30,5.12229866,9.54905697
28/06/2009 14:45,5.12386585,9.54875244
28/06/2009 15:00,5.12475947,9.5485367
28/06/2009 15:15,5.12640681,9.55098951
28/06/2009 15:30,5.12720622,9.55047755
28/06/2009 15:45,5.12969024,9.55120941
28/06/2009 16:00,5.13153795,9.55139527
28/06/2009 16:15,5.1348031,9.55098122
28/06/2009 16:30,5.13791989,9.54873336
28/06/2009 16:45,5.14084615,9.54811517
28/06/2009 17:00,5.14360507,9.54778161
28/06/2009 17:15,5.14425894,9.54760321
28/06/2009 17:30,5.1463893,9.54796333
28/06/2009 17:45,5.14867575,9.54760321
28/06/2009 18:00,5.15018528,9.5440858
28/06/2009 18:15,5.15275437,9.54471809
28/06/2009 18:30,5.15298639,9.54207028
28/06/2009 18:45,5.15472161,9.54030536
28/06/2009 19:00,5.15527494,9.54015351
28/06/2009 19:15,5.15710719,9.53803842
28/06/2009 19:30,5.1578377,9.53635397
28/06/2009 19:45,5.15897389,9.5338937
28/06/2009 20:00,5.15853446,9.53127577
28/06/2009 20:15,5.15895421,9.52928349
28/06/2009 20:30,5.15759795,9.52785876
28/06/2009 20:45,5.15744116,9.52678255
28/06/2009 21:00,5.15821807,9.52499605
28/06/2009 21:15,5.15829682,9.52080154
28/06/2009 21:30,5.15662628,9.52062646
28/06/2009 21:45,5.15845783,9.52027464
28/06/2009 22:00,5.15604834,9.51765007
28/06/2009 22:15,5.15483762,9.51478984
28/06/2009 22:30,5.15479825,9.51375926
28/06/2009 22:45,5.15467943,9.5131054
28/06/2009 23:00,5.1553558,9.50747705
28/06/2009 23:15,5.15641113,9.50753596
28/06/2009 23:30,5.1561524,9.50533209
28/06/2009 23:45,5.15708329,9.50152592
29/06/2009 00:00,5.15773927,9.49705344
29/06/2009 00:15,5.15992869,9.49433428
29/06/2009 00:30,5.1608413,9.49154044
29/06/2009 00:45,5.16231146,9.49252039
29/06/2009 01:00,5.16394473,9.4903273
29/06/2009 01:15,5.16408184,9.49243243
29/06/2009 01:30,5.16579034,9.48980455
29/06/2009 01:45,5.16779907,9.49189475
29/06/2009 02:00,5.16887128,9.49235858
29/06/2009 02:15,5.17117811,9.49196694
29/06/2009 02:30,5.17422882,9.49142094
29/06/2009 02:45,5.175751,9.49153545
29/06/2009 03:00,5.17740045,9.49189475
29/06/2009 03:15,5.18002508,9.49191134
29/06/2009 03:30,5.18284798,9.49196694
29/06/2009 03:45,5.18525466,9.4925818
29/06/2009 04:00,5.18785749,9.49064843
29/06/2009 04:15,5.1897474,9.49184412
29/06/2009 04:30,5.19218922,9.49252039
29/06/2009 04:45,5.19487362,9.49409613
29/06/2009 05:00,5.196007,9.49455997
29/06/2009 05:15,5.19797494,9.49448197
29/06/2009 05:30,5.19922715,9.49572249
29/06/2009 05:45,5.20046247,9.49629835
29/06/2009 06:00,5.20199239,9.49530677
29/06/2009 06:15,5.20383871,9.49445791
29/06/2009 06:30,5.20356028,9.49545281
29/06/2009 06:45,5.20304492,9.49682691
29/06/2009 07:00,5.20232847,9.49652571
29/06/2009 07:15,5.20250987,9.49637634
29/06/2009 07:30,5.20161554,9.49721442
29/06/2009 07:45,5.20051942,9.49636473
29/06/2009 08:00,5.1989902,9.49606601
29/06/2009 08:15,5.19777667,9.49383393
29/06/2009 08:30,5.19354408,9.49816202
29/06/2009 08:45,5.1925014,9.49787741
29/06/2009 09:00,5.188633,9.49764009
29/06/2009 09:15,5.1867445,9.49743182
29/06/2009 09:30,5.18362349,9.49845742
29/06/2009 09:45,5.17978603,9.49936851
29/06/2009 10:00,5.17586912,9.50047708
29/06/2009 10:15,5.17306872,9.49996678
29/06/2009 10:30,5.1697874,9.50021488
29/06/2009 10:45,5.1671248,9.499449
29/06/2009 11:00,5.16342726,9.49975685
29/06/2009 11:15,5.16018532,9.50129358
29/06/2009 11:30,5.15782083,9.4997834
29/06/2009 11:45,5.15398126,9.50125126
29/06/2009 12:00,5.15082509,9.5019267
29/06/2009 12:15,5.14664663,9.50196486
29/06/2009 12:30,5.14384553,9.50580423
29/06/2009 12:45,5.14243513,9.50593284
29/06/2009 13:00,5.13921217,9.50834583
29/06/2009 13:15,5.13885641,9.50905611
29/06/2009 13:30,5.13603069,9.51021945
29/06/2009 13:45,5.1341647,9.51228226
29/06/2009 14:00,5.13239291,9.51244656
29/06/2009 14:15,5.13237182,9.51375926
29/06/2009 14:30,5.13181849,9.51524704
29/06/2009 14:45,5.13191622,9.51483547
29/06/2009 15:00,5.13189372,9.51697712
29/06/2009 15:15,5.13221433,9.5178434
29/06/2009 15:30,5.13467936,9.51621456
29/06/2009 15:45,5.1350773,9.51927725
29/06/2009 16:00,5.13708673,9.51889639
29/06/2009 16:15,5.13877555,9.51837196
29/06/2009 16:30,5.14281128,9.51794049
29/06/2009 16:45,5.14424066,9.51715967
29/06/2009 17:00,5.14756135,9.51362981
